question_name,llm_code_creation_time,info,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Relógio,2.381237761990633,database/obi_2024/nível 2/fase 1/,AC,0.06731597101315856,52,0,0,0,0,52
Concurso,2.09010600898182,database/obi_2024/nível 2/fase 1/,AC,0.05523148097563535,20,0,0,0,0,20
Jogo da vida,7.196179335995112,database/obi_2024/nível 2/fase 1/,AC,0.19202425601542927,19,0,0,0,0,19
Ogro,1.444777176977368,database/obi_2024/nível 2/fase 1/,AC,0.043070293992059305,20,0,0,0,0,20
Construtora,3.505039782001404,database/obi_2024/nível 2/fase 3/,WA,0.06515604199375957,4,34,0,0,0,38
Retas,6.478710318013327,database/obi_2024/nível 2/fase 3/,WA,1.5829335519811139,22,21,0,0,0,43
Burocracia,20.70916674597538,database/obi_2024/nível 2/fase 3/,TLE,15.0,1,2,0,50,0,53
Brigadeiros,8.208958645001985,database/obi_2024/nível 2/fase 3/,WA,0.29495178000070155,8,59,0,0,0,67
Jogo de Pratos,17.059241034003207,database/obi_2024/nível 2/fase 3/,WA,15.0,11,53,0,9,0,73
Jogo do Poder,12.13880178501131,database/obi_2024/nível 2/fase 2/,TLE,15.0,5,0,0,145,0,150
Alfabeto Alienígena,3.5420862270111684,database/obi_2024/nível 2/fase 2/,AC,0.11112882598536089,61,0,0,0,0,61
Concatena Dígitos,4.424080666998634,database/obi_2024/nível 2/fase 2/,AC,0.23612252000020817,25,0,0,0,0,25
Cubo Preto,1.3976957220002078,database/obi_2024/nível 2/fase 2/,AC,0.029302929993718863,11,0,0,0,0,11
